id,title,body,category,priority
1,Stato dell'ordine n. 1015,Quali sono le condizioni minime di fornitura per un ordine ricorrente mensile?,Commerciale,bassa
2,Impossibile accedere al portale interno,Il laptop va in schermata blu ogni ora. Temo ci sia un driver corrotto o un problema hardware.,Tecnico,alta
3,Stato dell'ordine n. 1067,Devo modificare la quantità dell'ordine 1160 da 10 a 25 unità. È ancora possibile?,Commerciale,bassa
4,Perdita dati su drive condiviso,Il laptop va in schermata blu ogni ora. Temo ci sia un driver corrotto o un problema hardware.,Tecnico,alta
5,Modifica quantità su ordine in corso,Vorrei ricevere il catalogo aggiornato con i nuovi prodotti del secondo semestre.,Commerciale,bassa
6,Chiarimento su nota credito,"Buongiorno, non ho ancora ricevuto la fattura relativa al mese di aprile. Potete inviarla al più presto?",Amministrazione,bassa
7,Modifica quantità su ordine in corso,Siamo interessati ad acquistare 50 licenze. Potete inviarci un preventivo dettagliato?,Commerciale,bassa
8,Interesse per piano Enterprise,Il contratto scade a fine mese. Vorrei ricevere la proposta di rinnovo con le nuove condizioni.,Commerciale,bassa
9,Offerta scaduta: rinnovo contratto,L'ordine 1189 risulta ancora in lavorazione. A quando è prevista la spedizione?,Commerciale,media
10,Malfunzionamento scanner documenti,Il portale restituisce errore 403. Ho provato con più browser ma la situazione non cambia.,Tecnico,bassa
11,Sistema bloccato dopo aggiornamento,All'avvio ricevo 'Errore critico: database non raggiungibile'. Il servizio è fermo da stamattina.,Tecnico,alta
12,Stato dell'ordine n. 1106,Il contratto scade a fine mese. Vorrei ricevere la proposta di rinnovo con le nuove condizioni.,Commerciale,bassa
13,Domanda su condizioni di fornitura,Vorrei capire i vantaggi del piano Enterprise rispetto all'abbonamento Standard attuale.,Commerciale,bassa
14,Chiarimento su nota credito,Riscontro una nota credito non applicata sull'ultima fattura. Chiedo verifica e storno corretto.,Amministrazione,media
15,Sollecito pagamento arretrato,La fattura numero 1075 riporta un importo errato di 750 euro invece di 2300. Chiedo rettifica.,Amministrazione,media
16,Errore critico all'avvio dell'applicazione,Il laptop va in schermata blu ogni ora. Temo ci sia un driver corrotto o un problema hardware.,Tecnico,alta
17,Modifica quantità su ordine in corso,Quali sono le condizioni minime di fornitura per un ordine ricorrente mensile?,Commerciale,bassa
18,Richiesta fattura dicembre,Solicito ricevuta di pagamento relativa alla transazione del 4/1/2024 per 480 euro.,Amministrazione,bassa
19,Scadenza pagamento non ricevuta,Ho effettuato il pagamento il 23/4/2024 ma non risulta registrato. Allego la contabile bancaria.,Amministrazione,media
20,Sistema bloccato dopo aggiornamento,Il laptop va in schermata blu ogni ora. Temo ci sia un driver corrotto o un problema hardware.,Tecnico,alta
21,Richiesta referenze commerciali,La promozione del 15% non è stata applicata all'ordine 1165. Chiedo correzione.,Commerciale,bassa
22,Offerta scaduta: rinnovo contratto,Potete fornirmi alcune referenze commerciali di aziende che usano il vostro servizio?,Commerciale,bassa
23,Richiesta referenze commerciali,L'ordine 1059 doveva arrivare il 25/1/2024 ma non è ancora stato consegnato. Verificate.,Commerciale,bassa
24,Sollecito pagamento arretrato,Solicito ricevuta di pagamento relativa alla transazione del 22/2/2024 per 670 euro.,Amministrazione,media
25,Modifica quantità su ordine in corso,Vorrei capire i vantaggi del piano Enterprise rispetto all'abbonamento Standard attuale.,Commerciale,bassa
26,Mancato rimborso spese marzo,I dati fiscali sono cambiati. Allego il nuovo modello di registrazione per l'aggiornamento.,Amministrazione,media
27,Interesse per piano Enterprise,Siamo interessati ad acquistare 50 licenze. Potete inviarci un preventivo dettagliato?,Commerciale,bassa
28,Chiarimento su nota credito,Non ho ricevuto il promemoria di scadenza per la rata di febbraio. Inviatemi le istruzioni di pagamento.,Amministrazione,bassa
29,Sistema bloccato dopo aggiornamento,Le email non vengono inviate: errore 'Connessione SMTP rifiutata'. Riguarda tutti gli utenti.,Tecnico,alta
30,Richiesta ricevuta di pagamento,Ho effettuato il pagamento il 13/7/2024 ma non risulta registrato. Allego la contabile bancaria.,Amministrazione,media
31,Discrepanza importo in estratto conto,Ho effettuato il pagamento il 3/7/2024 ma non risulta registrato. Allego la contabile bancaria.,Amministrazione,media
32,Consegna in ritardo ordine 1110,La promozione del 15% non è stata applicata all'ordine 1191. Chiedo correzione.,Commerciale,media
33,Mancato rimborso spese giugno,I dati fiscali sono cambiati. Allego il nuovo modello di registrazione per l'aggiornamento.,Amministrazione,media
34,Chiarimento su nota credito,Solicito ricevuta di pagamento relativa alla transazione del 12/12/2024 per 670 euro.,Amministrazione,bassa
35,PC lento e instabile,Lo scanner non viene riconosciuto dopo la sostituzione del cavo USB. Ho reinstallato i driver.,Tecnico,media
36,Offerta scaduta: rinnovo contratto,Devo modificare la quantità dell'ordine 1157 da 10 a 25 unità. È ancora possibile?,Commerciale,bassa
